address,zipcode,county,price,housing_type,beds,baths,sqfts,lotsize,garage,yearbuilt
"638 36th Ave, San Francisco, CA 94121",94121,San Francisco County,"$1,595,000",Single Family Residence,3,2,"2,141","3,000",2,1928
"1758 36th Ave, San Francisco, CA 94122",94122,San Francisco County,"$1,598,000",Single Family Residence,5,3,"2,360","3,000",1,1939
"4127 Ulloa St, San Francisco, CA 94116",94116,San Francisco County,"$1,295,000",Single Family Residence,4,3,"1,948","2,495",1,1946
"506 Eureka St, San Francisco, CA 94114",94114,San Francisco County,"$2,488,000",Single Family Residence,3,3/1,"2,168","1,777",1,1914
"451 Kansas St 571, San Francisco, CA 94107",94107,San Francisco County,"$895,000",Condominium,1,1,778,1.843,1,2007
"2310 46th Ave, San Francisco, CA 94116",94116,San Francisco County,"$1,399,900",Single Family Residence,3,2,"1,890","2,063",1,1941
"1223 10th Ave, –, CA 94122",94122,San Francisco County,"$1,889,000",Single Family Residence,3,2,"2,045","2,996",1,1904
"1180 Plymouth Ave, –, CA 94112",94112,San Francisco County,"$755,000",Single Family Residence,0,1,968,"2,495",1,1910
"1449 26th Ave, San Francisco, CA 94122",94122,San Francisco County,"$998,000",Single Family Residence,2,1,"1,505","2,996",2,1928
"151 Bernard St, San Francisco, CA 94109",94109,San Francisco County,"$2,975,000",Single Family Residence,3,3/1,"2,214","1,171",0,1902
"4626 17th St, San Francisco, CA 94117",94117,San Francisco County,"$699,000",Condominium,1,1,607,"2,705",0,1907
"1259-1261 Filbert St, San Francisco, CA 94109",94109,San Francisco County,"$3,528,000",Residential,6,3,"2,937","3,367",2,1906
"338 Main St D9h, San Francisco, CA 94105",94105,San Francisco County,"$1,275,000",Condominium,1,1,854,1.731,1,2016
"347 Lisbon St, San Francisco, CA 94112",94112,San Francisco County,"$1,599,999",Single Family Residence,6,6,"3,168","2,495",1,1907
"271 Lowell St, San Francisco, CA 94112",94112,San Francisco County,"$689,000",Single Family Residence,2,1,746,"3,200",0,1900
"211 Pelican Cove Ter, San Francisco, CA 94134",94134,San Francisco County,"$895,000",Townhouse,3,3/1,"1,525","6,333",2,2009
"187 Carnelian Way, San Francisco, CA 94131",94131,San Francisco County,"$1,525,000",Townhouse,3,2/1,"1,747",806,2,1976
"784 48th Ave, –, CA 94121",94121,San Francisco County,"$1,100,000",Single Family Residence,2,1/1,"1,326","2,696",2,1942
"45 Hazelwood Ave, San Francisco, CA 94112",94112,San Francisco County,"$1,299,000",Single Family Residence,2,1,"1,215","3,493",1,1922
"2392 16th Ave, San Francisco, CA 94116",94116,San Francisco County,"$1,650,000",Residential Income,,,"4,085","1,950",0,1945
"3830 Mission St, San Francisco, CA 94110",94110,San Francisco County,"$1,298,000",Residential Income,,,"2,462","3,005",0,1921
"3011 Van Ness Ave, San Francisco, CA 94109",94109,San Francisco County,"$2,298,000",Single Family Residence,2,1/1,"2,131","3,075",1,1927
"725 Pine St 308, San Francisco, CA 94108",94108,San Francisco County,"$729,000",Condominium,1,1,536,"5,000",0,1920
"717 Clayton St, San Francisco, CA 94117",94117,San Francisco County,"$1,199,000",Condominium,2,1,"1,175","3,072",1,1907
"2709 Jackson St, San Francisco, CA 94115",94115,San Francisco County,"$6,895,000",Single Family Residence,7,5/1,"6,187","3,510",0,1888
"200 Brannan St 225, San Francisco, CA 94107",94107,San Francisco County,"$925,000",Condominium,1,1,782,1.673,1,2004
"2725 20th St, San Francisco, CA 94110",94110,San Francisco County,"$1,195,000",Single Family Residence,3,2,"1,330",962,0,1906
"16 Lois Ln, –, CA 94134",94134,San Francisco County,"$1,099,800",Single Family Residence,3,2/1,"1,850","1,342",2,1997
"3981 Alemany Blvd, –, CA 94132",94132,San Francisco County,"$698,888",Condominium,2,2,948,0,1,2002
"1276 Geneva Ave, San Francisco, CA 94112",94112,San Francisco County,"$789,000",Single Family Residence,5,3,"1,839","2,500",1,1923
"Address Not Disclosed, San Francisco, CA 94103",94103,San Francisco County,"$250,000",Business Opportunity,,,,,,
"487 23rd Ave, –, CA 94121",94121,San Francisco County,"$1,500,000",Single Family Residence,0,1,"1,910","1,999",1,1915
"74 New Montgomery St., –, CA 94105",94105,San Francisco County,"$1,419,888",Condominium,2,2,"1,203",1,1,1914
"1 Crescent Way 1216, San Francisco, CA 94134",94134,San Francisco County,"$785,000",Condominium,2,2,"1,063",0.966,1,2001
"147 Mason, –, CA 94102",94102,San Francisco County,"$225,000",Business Opportunity,,,,,,
"2310 Bryant St, –, CA 94110-2811",-2811,San Francisco County,"$1,950,000",Triplex,,,"1,838","5,000",–,1906
"178 Brighton Ave, San Francisco, CA 94112",94112,San Francisco County,"$1,050,000",Single Family Residence,3,2/1,"1,779","2,809",2,1967
"2184 Funston Ave, San Francisco, CA 94116",94116,San Francisco County,"$1,795,000",Single Family Residence,3,2/1,"2,100","2,996",2,1978
"5131 3rd, San Francisco, CA 94124",94124,San Francisco County,"$125,000",Business Opportunity,,,,,,
"1828 Eddy St 104, San Francisco, CA 94115",94115,San Francisco County,"$979,000",Condominium,2,2,926,–,2,2000
"300 Berry St 1402, San Francisco, CA 94158",94158,San Francisco County,"$935,000",Condominium,1,1,728,0.961,1,2009
"1967 34th Ave, San Francisco, CA 94116",94116,San Francisco County,"$899,000",Single Family Residence,2,1,800,"3,000",1,1943
"940 Market St, –, CA 94102",94102,San Francisco County,"$50,000",Business Opportunity,,,,,,
"377 West Portal, San Francisco, CA 94127",94127,San Francisco County,"$2,288,000",Commercial Sale,,,"2,777","4,390",,1935
"5601 Anza St, San Francisco, CA 94121",94121,San Francisco County,"$2,995,000",Single Family Residence,5,4/1,"3,221","2,696",1,1941
"290 Holladay Ave, San Francisco, CA 94110",94110,San Francisco County,"$899,000",Single Family Residence,3,2,"1,200","2,587",0,1920
"1751 19th Ave, San Francisco, CA 94122",94122,San Francisco County,"$990,000",Single Family Residence,3,3,"1,780","2,996",1,1940
"257 Beverly St, San Francisco, CA 94132",94132,San Francisco County,"$1,295,000",Single Family Residence,4,4,"1,979","2,362",1,1938
"1450 39th Ave, San Francisco, CA 94122",94122,San Francisco County,"$1,299,950",Single Family Residence,2,1,"1,382","2,996",1,1929
"1733-1735 Lane St, San Francisco, CA 94124",94124,San Francisco County,"$988,000",Duplex,,,"2,700","2,247",4,1963
"51 Sussex St, San Francisco, CA 94131",94131,San Francisco County,"$1,649,000",Single Family Residence,3,2,"1,071","2,237",1,1952
"2999 California St 53, San Francisco, CA 94115",94115,San Francisco County,"$659,000",Condominium,0,1,613,"4,761",0,1929
"378 Highland Ave, San Francisco, CA 94110",94110,San Francisco County,"$1,495,000",Single Family Residence,5,2,"1,930","1,646",1,1910
"140 South Van Ness Ave 1028, San Francisco, CA 94103",94103,San Francisco County,"$699,000",Condominium,1,1,795,0.99,1,2002
"2600 18th St 4, San Francisco, CA 94110",94110,San Francisco County,"$799,888",Condominium,0,1,753,"10,320",1,1999
"1736 Fell St, San Francisco, CA 94117",94117,San Francisco County,"$4,599,000",Triplex,,,"6,825","3,436",0,1900
"338 Potrero Ave 509, San Francisco, CA 94103",94103,San Francisco County,"$1,084,476",Condominium,2,2,845,–,1,2016
"125 Chenery St, –, CA 94131",94131,San Francisco County,"$1,750,000",Single Family Residence,2,1,"1,488","3,009",1,1908
"665 Victoria St, San Francisco, CA 94127",94127,San Francisco County,"$1,595,000",Single Family Residence,3,2,"1,495","5,163",1,1926
"58 Bishop St, San Francisco, CA 94134",94134,San Francisco County,"$1,150,000",Single Family Residence,3,2,"1,675","2,495",2,1978
"166 Brewster St, San Francisco, CA 94110",94110,San Francisco County,"$895,000",Land,,,,,,
"501 Bartlett St, –, CA 94110",94110,San Francisco County,"$2,200,000",Residential Income,,,"3,500","1,875",–,1907
"501 Bartlett St, San Francisco, CA 94110",94110,San Francisco County,"$2,200,000",Residential Income,,,"3,500","1,875",0,1907
"767 Corbett Ave #1, –, CA 94131",94131,San Francisco County,"$1,150,000",Condominium,2,2/1,"1,207","2,274",1,2000
", –, CA 94124",94124,San Francisco County,"$1,025,000",Commercial Sale,,,"1,882","1,882",,1990
"1490 Shafter Ave, San Francisco, CA 94124",94124,San Francisco County,"$1,150,000",Single Family Residence,3,3/1,"2,087","2,500",1,1932
"2150 31st Ave, San Francisco, CA 94116",94116,San Francisco County,"$995,000",Single Family Residence,3,1,"1,334","2,996",1,1939
"316 Edinburgh St, San Francisco, CA 94112",94112,San Francisco County,"$999,950",Single Family Residence,5,3,"1,675","2,500",1,1900
"210 Teddy Ave, –, CA 94134",94134,San Francisco County,"$1,280,000",Single Family Residence,5,3,"1,958","3,998",1,1934
"2248 Jerrold Ave 7, San Francisco, CA 94124",94124,San Francisco County,"$1,025,000",Commercial Sale,,,"1,882","1,882",,1990
"61 Carrizal St, San Francisco, CA 94134",94134,San Francisco County,"$572,888",Single Family Residence,3,2,810,"2,495",1,1944
"333 Main St 4k, San Francisco, CA 94105",94105,San Francisco County,"$899,000",Condominium,1,1,832,1.749,1,2008
"2920 Pine St, –, CA 94115",94115,San Francisco County,"$869,000",Condominium,2,1,760,0,1,1908
"Address Not Disclosed, San Francisco, CA 94115",94115,San Francisco County,"$599,000",Condominium,3,2,"1,050",2.587,1,1964
"2922 Pine St, –, CA 94115",94115,San Francisco County,"$1,200,000",Condominium,2,2,"1,062",0,1,1908
"135 Yukon St, San Francisco, CA 94114",94114,San Francisco County,"$3,198,000",Single Family Residence,4,3/1,"2,900","1,724",3,2014
"265 Flournoy St, San Francisco, CA 94112",94112,San Francisco County,"$689,900",Single Family Residence,2,1,"1,800","2,500",1,1920
"971 S Van Ness Ave, San Francisco, CA 94110",94110,San Francisco County,"$1,799,000",Residential Income,,,"2,612","3,675",0,1885
"301 Main St, –, CA 94105",94105,San Francisco County,$1,Condominium,2,2,"1,323",0,1,2008
"301 Mission St, –, CA 94105",94105,San Francisco County,"$1,435,000",Condominium,2,2,"1,281",1.16,1,2009
"1348a Scott St, –, CA 94115",94115,San Francisco County,"$685,000",Condominium,1,1,653,0,1,1986
"428 8th St, –, CA 94103",94103,San Francisco County,"$895,000",Condominium,1,1/1,"1,185",0,1,2002
"301 Main St 37b, San Francisco, CA 94105",94105,San Francisco County,"$7,788,000",Condominium,3,3/1,"3,382",1.749,3,2008
"87 Apollo St, San Francisco, CA 94124",94124,San Francisco County,"$829,888",Single Family Residence,3,1,987,"1,546",2,1943
"32 Acton St, San Francisco, CA 94112",94112,San Francisco County,"$699,000",Single Family Residence,2,1,"1,100","1,751",1,1948
"199 New Montgomery St 711, San Francisco, CA 94105",94105,San Francisco County,"$394,884",Condominium,0,1,412,0.294,0,2004
"3536 Balboa Street, San Francisco, CA 94121",94121,San Francisco County,"$275,000",Business Opportunity,,,,,,
"555 Innes Avenue, –, CA 94124",94124,San Francisco County,"$910,000",Condominium,2,2,"1,212",0,1,2016
"4073 18th St, San Francisco, CA 94114",94114,San Francisco County,"$1,499,000",Condominium,3,2/1,"1,730","2,467",0,2005
"65 Restani Way, San Francisco, CA 94112",94112,San Francisco County,"$1,150,000",Single Family Residence,5,3,"1,970","2,713",2,1954
"4128 3rd St, San Francisco, CA 94124",94124,San Francisco County,"$1,288,888",Residential Income,,,"2,750","2,387",0,1900
